mlbam,sp_stuff,sp_pitching
695243,129.13,120.41
664854,129.11,121.19
656876,128.48,118.63
661403,127.98,128.21
690829,127.92,112.05
656629,127.34,112.45
605280,125.78,121.90
661395,124.96,114.96
671305,124.46,101.65
670970,123.51,113.08
669373,112.19,112.03
573204,112.14,113.80
502085,111.79,109.19
592155,111.66,104.12
666974,111.63,122.00
605400,111.60,111.19
664849,111.47,96.37
518617,111.43,94.91
666808,111.34,99.89
669093,107.01,121.12
693433,107.00,113.28
543037,106.91,106.93
657376,106.81,105.68
656234,106.78,87.49
622253,106.78,96.89
663546,106.75,109.71
693312,106.73,85.31
660896,106.69,110.03
650911,107.70,117.76
686613,104.55,104.99
669276,104.50,105.40
642701,104.50,97.39
674370,104.39,88.96
672282,104.35,101.38
669022,104.34,103.86
664875,104.34,94.32
455119,104.30,109.06
572143,104.26,101.43
641329,102.18,102.86
676775,102.19,99.65
608032,102.16,104.36
673513,101.76,97.55
668933,101.71,100.39
669060,101.71,98.09
670950,101.56,95.00
606160,101.56,97.64
657571,102.70,101.48
663776,99.69,106.53
680704,99.65,92.17
630023,99.65,91.88
806185,99.59,89.13
607179,99.54,87.20
552640,99.46,110.91
571760,99.38,100.46
676596,99.37,96.18
681402,99.33,107.47
676614,99.29,100.77
667725,73.35,91.67
668968,78.39,81.60
621389,78.52,79.12
623167,81.46,82.79
594902,81.87,82.65
689672,82.58,84.29
527048,83.95,92.84
594835,84.02,80.94
674072,84.15,86.03
